Stop,Ridership,Downtown
Redwood Rd @ 9375 S,7,0
Redwood Rd / 4200 S,7,0
Magna Main St / 8590 W,7,0
1300 E @ 4545 S,7,0
Murray Holladay Rd @ 1885 E,7,0
Redwood Rd @ 3430 S,7,0
3300 S @ 398 E,7,0
500 E / Garden Ave,7,0
Fort Union Blvd @ 671 E,7,0
900 E / Princeton Ave,7,0
5400 S / 4800 W,7,0
1300 E @ 5581 S,7,0
900 W @ 3595 S,7,0
3900 S @ 547 W,7,0
Greenwood Ter / Sunnyside Ave,7,0
1300 E @ 2455 S,7,0
1300 E @ 4730 S,7,0
Highland Dr @ 3125 S,7,0
Fort Union Blvd @ 1285 E,7,0
4700 S @ 3230 W,7,0
Highland Dr @ 4805 S,7,0
Cougar Ln @ 6865 S,7,0
Atherton Dr @ 4533 S,7,0
2200 W @ 4512 S,7,0
4700 S @ 5407 W,7,0
2200 W @ 4519 S,7,0
Winchester St / 525 E,7,0
L St / 3rd Ave,7,0
1700 S @ 314 E,7,0
900 E / White Maple Way,7,0
4100 S @ 4820 W,7,0
State St @ 6801 S,7,0
1300 E @ 7075 S,7,0
Redwood Rd / 6900 S,7,0
Bennion Blvd @ 1652 W,7,0
4715 S @ 4036 W,7,0
900 W @ 3590 S,7,0
2nd Ave / Canyon Rd,7,0
4700 S @ 4975 W,7,0
State St @ 5898 S,7,0
3900 S @ 54 W,7,0
4000 W @ 4071 S,7,0
3300 S @ 2103 E,7,0
Dixie Dr @ 6260 S,6,0
