Stop,Ridership,Downtown
3200 W / North Frontage Rd,16,0
State St @ 1912 S,16,0
2100 E / Wilson Ave,16,0
1700 S / Wallace Rd,16,0
Columbus Center,15,0
Highland Dr @ 4830 S,15,0
500 E / Ramona Ave,15,0
Highland Dr @ 7817 S,15,0
900 E / 600 S,15,0
Atherton Dr @ 833 W,15,0
900 W / 600 S,15,0
1300 E @ 5665 S,15,0
900 E / 300 S,15,0
State St @ 5131 S,15,0
1300 E @ 401 S,15,0
4000 W @ 4600 S,15,0
4500 S @ 534 W,15,0
Atherton Dr @ 1020 W,15,0
2100 S / West Temple,15,0
6200 S @ 3809 W,15,0
Glendale Dr / 1300 S,15,0
3900 S @ 910 E,15,0
2100 S / 1500 E,15,0
3900 S @ 1167 E,15,0
State St @ 4035 S,15,0
3400 S / 1400 W,15,0
Redwood Rd / 2700 S,14,0
Magna Main St / 9040 W,14,0
Copper City Dr / Borax Ave,14,0
Highland Dr @ 3910 S,14,0
4015 W @ 4746 S,14,0
State St @ 3451 S,14,0
1100 E / 1700 S,14,0
Murray Blvd @ 4948 S,14,0
900 E / 100 S,14,0
1000 N / 1300 W,14,0
3650 S / 3100 W,14,0
1300 E @ 2078 S,14,0
4700 S @ 1531 W,14,0
2100 E / 1700 S,14,0
5400 S / 2200 W,14,0
3100 S / 8800 W,14,0
State St @ 2968 S,14,0
1100 E / Harrison Ave,13,0
Presidents Dr / 2270 S,13,0
1300 E @ 6845 S,13,0
Highland Dr / 2700 S,13,0
3600 W / 3650 S,13,0
500 E / Downington Ave,13,0
2100 S / 1500 W,13,0
State St @ 3620 S,13,0
Atherton Dr @ 4540 S,13,0
1100 E / Kensington Ave,13,0
Mario Capecchi Dr / 1900 E,13,0
1100 E / 900 S,13,0
2100 S / 1600 W,13,0
4000 W @ 4537 S,13,0
500 E / Sunset Ave,13,0
900 E / 4400 S,13,0
Fort Union Blvd @ 910 E,13,0
5400 S / 5425 W,13,0
500 S @ 1115 E,13,0
South Temple / 900 E / N St,13,0
900 E / Bryan Ave,13,0
State St @ 5905 S,13,0
3500 S / 5200 W,13,0
900 E / College St,13,0
3rd Ave / I St,13,0
3300 S @ 1225 E,13,0
Highland Dr @ 6827 S,13,0
500 E / Kensington Ave,13,0
700 S / 800 W,13,0
M St / 3rd Ave,13,0
1100 E / Ramona Ave,12,0
Cougar Ln @ 6221 S,12,0
1700 S / Industrial Rd,12,0
500 E / 4050 S,12,0
1300 E @ 3946 S,12,0
Centennial Pkwy @ 10255 S,12,0
3500 S / 8150 W,12,0
Highland Dr @ 4745 S,12,0
State St @ 3434 S,12,0
1300 E @ 525 S,12,0
400 S / 765 W,12,0
900 S / 1400 E,12,0
Highland Dr @ 6271 S,12,0
3500 S / 6800 W,12,0
1300 E @ 480 S,12,0
3650 S / 3400 W,12,0
4700 S @ 4505 W,12,0
Jordan Landing Blvd @ 7181 S,12,0
State St @ 2510 S,12,0
500 E / Lambourne Ave,12,0
Wakara Way / Arapeen Dr,12,0
900 E / Kingsmill Ln,12,0
900 E / Parkway Ave,12,0
3900 S @ 3335 E,12,0
1300 E @ 544 S,12,0
500 W @ 4558 S,12,0
1300 E @ 698 S,12,0
Redwood Rd / 8000 S,12,0
Murray Blvd / 5400 S,12,0
State St @ 2473 S,12,0
3300 S @ 2201 E,12,0
3500 S / 6000 W,12,0
1300 E @ 1969 S,11,0
Highland Dr @ 4175 S,11,0
4015 W @ 5470 S,11,0
State St / 1st Ave,11,0
